Trait1	Trait2	Trait3	Trait4
1545	1907	1466	2136
1546	1910	1472	2142
1568	1914	1478	2152
1585	1923	1494	2177
1586	1935	1498	2192
1589	1943	1499	2197
1594	1973	1500	2199
1608	1987	1507	2203
1611	1998	1521	2208
1614	2012	1525	2211
1634	2013	1528	2215
1655	2014	1535	2271
1663	2016	1544	2279
1664	2027	1547	2302
1669	2031	1561	2331
1683	2037	1580	2335
1699	2039	1583	2343
1700	2041	1584	2350
1704	2050	1588	2375
1728	2073	1590	2378
1733	2087	1592	2385
1735	2108	1604	2410
1765	2111	1622	2428
1779	2113	1625	2429
1817	2137	1653	2448
1827	2140	1657	2450
1830	2149	1660	2453
1837	2186	1670	2454
1839	2193	1672	2455
1841	2195	1684	2463
1872	2198	1723	2494
1873	2212	1724	2518
1880	2213	1728	2521
1882	2219	1736	2531
1888	2224	1739	2549
1889	2225	1748	2551
1900	2227	1750	2584
1912	2228	1759	2585
1922	2240	1760	2597
1939	2242	1762	2605
1959	2251	1772	2624
1964	2252	1793	2645
1977	2264	1798	2666
1981	2342	1800	2667
1995	2344	1806	2694
2004	2355	1817	2708
2006	2357	1830	2734
2019	2367	1832	2763
2027	2368	1841	2787
2050	2376	1844	2834
2051	2383	1864	2857
2056	2386	1875	2876
2067	2413	1903	2883
2071	2423	1906	2884
2093	2424	1912	2901
2099	2447	1928	2909
2112	2454	1938	2925
2133	2464	1939	2927
2145	2485	1959	2929
2149	2493	1975	2933
2160	2494	1978	2964
2161	2495	2028	2971
2163	2511	2048	2974
2166	2512	2050	2982
2167	2516	2055	3000
2183	2517	2068	3030
2186	2522	2074	3039
2212	2525	2075	3054
2215	2531	2084	3057
2219	2536	2097	3060
2227	2547	2099	3073
2238	2551	2108	3079
2243	2555	2114	3080
2253	2610	2117	3084
2254	2614	2139	3096
2257	2616	2153	3098
2259	2618	2156	3099
2260	2625	2157	3125
2262	2626	2172	3126
2268	2632	2173	3128
2271	2634	2192	3148
2274	2650	2196	3150
2276	2651	2200	3153
2277	2656	2201	3154
2278	2665	2202	3196
2279	2669	2212	3206
2285	2682	2214	3231
2288	2690	2228	3239
2293	2697	2234	3243
2294	2701	2235	3245
2295	2712	2237	3260
2329	2713	2245	3290
2332	2737	2254	3300
2333	2750	2274	3309
2358	2780	2276	3311
2382	2792	2293	3316
2385	2802	2294	3318
2407	2818	2315	3323
2408	2819	2342	3326
2427	2821	2348	3348
2435	2828	2362	3369
2440	2836	2363	3373
2447	2842	2364	3380
2456	2853	2368	3383
2459	2874	2384	3409
2465	2886	2415	3432
2481	2897	2436	3470
2486	2904	2440	3486
2488	2905	2450	3496
2491	2906	2462	3499
2506	2930	2468	3515
2550	2948	2484	3529
2561	2950	2503	3535
2563	2993	2524	3538
2574	2997	2525	3540
2587	2999	2532	3568
2590	3003	2535	3572
2594	3006	2557	3596
2623	3009	2558	3600
2627	3018	2562	3644
2634	3020	2563	3655
2653	3027	2564	3660
2660	3038	2568	3665
2663	3043	2577	3692
2689	3044	2595	3704
2710	3055	2596	3705
2719	3056	2597	3709
2726	3058	2599	3778
2732	3067	2622	3797
2735	3097	2633	3809
2754	3102	2639	3810
2757	3113	2641	3813
2785	3127	2645	3822
2799	3133	2649	3901
2805	3135	2664	3924
2806	3136	2679	3943
2807	3138	2682	3957
2847	3194	2699	3958
2851	3198	2702	3960
2854	3202	2705	3974
2855	3232	2709	3991
2880	3238	2717	3997
2899	3244	2722	4004
2901	3270	2735	4014
2912	3274	2741	4034
2916	3277	2749	4043
2923	3289	2755	4073
2925	3292	2769	4091
2944	3296	2780	4116
2954	3297	2783	4124
2956	3321	2792	4125
2957	3360	2802	4126
2958	3367	2820	4137
2960	3375	2825	4149
2974	3402	2836	4151
2983	3408	2843	4161
2989	3415	2862	4167
2991	3417	2868	4202
3002	3445	2877	4214
3014	3451	2885	4219
3017	3452	2900	4221
3025	3488	2901	4232
3026	3489	2924	4248
3029	3517	2925	4254
3034	3538	2928	4279
3046	3560	2941	4282
3057	3567	2942	4303
3067	3569	2947	4309
3069	3573	2969	4311
3076	3594	2971	4317
3077	3601	2973	4329
3082	3660	2977	4344
3094	3668	2994	4377
3095	3687	3001	4426
3099	3695	3002	4454
3108	3721	3009	4466
3109	3731	3011	4509
3131	3752	3017	4538
3134	3763	3022	4540
3140	3764	3030	4548
3151	3779	3041	4576
3158	3780	3059	4578
3165	3788	3061	4617
3169	3801	3065	4619
3175	3819	3082	4623
3181	3841	3083	4627
3189	3851	3090	4633
3197	3853	3093	4658
3207	3868	3094	4673
3208	3872	3119	4691
3214	3874	3134	4692
3225	3895	3139	4696
3230	3897	3146	4704
3254	3901	3147	4710
3263	3904	3150	4711
3270	3910	3157	4720
3271	3914	3158	4721
3275	3915	3161	4735
3276	3934	3167	4796
3279	3937	3175	4807
3288	3956	3178	4811
3294	3970	3203	4822
3296	3972	3216	4832
3301	3975	3225	4845
3310	3988	3226	4847
3314	4009	3230	4849
3316	4018	3232	4858
3328	4033	3240	4860
3345	4056	3247	4863
3348	4057	3253	4866
3355	4068	3259	4877
3358	4089	3266	4895
3363	4090	3267	4899
3375	4094	3270	4910
3377	4106	3293	4926
3378	4110	3307	4939
3380	4137	3315	4959
3399	4151	3318	4975
3401	4154	3329	4988
3414	4155	3330	4995
3430	4162	3331	5000
3482	4168	3332	8
3491	4169	3363	12
3496	4172	3364	20
3519	4185	3378	35
3522	4187	3381	36
3524	4192	3385	43
3537	4198	3388	45
3540	4200	3392	54
3551	4204	3398	61
3571	4226	3411	68
3573	4227	3418	70
3583	4242	3425	72
3587	4243	3428	74
3597	4255	3436	83
3599	4256	3437	92
3600	4260	3440	97
3605	4267	3442	98
3615	4269	3444	114
3623	4271	3446	123
3635	4275	3448	127
3653	4279	3459	171
3661	4300	3475	187
3667	4304	3481	198
3677	4305	3496	211
3679	4310	3499	212
3680	4313	3503	214
3687	4326	3516	217
3701	4329	3517	227
3708	4334	3521	257
3713	4336	3522	261
3717	4352	3523	271
3719	4356	3524	277
3725	4358	3553	287
3726	4370	3559	290
3736	4384	3578	291
3737	4386	3582	303
3754	4389	3606	310
3762	4398	3610	323
3771	4400	3628	331
3772	4404	3654	342
3778	4405	3661	370
3782	4423	3664	392
3806	4432	3668	395
3821	4448	3673	408
3846	4454	3677	420
3866	4465	3682	438
3868	4468	3688	451
3870	4470	3695	460
3875	4472	3698	469
3884	4475	3702	473
3890	4476	3715	475
3912	4485	3717	477
3942	4516	3723	483
3959	4519	3725	484
3960	4529	3740	501
3961	4533	3762	512
3971	4540	3768	524
3979	4560	3783	537
3984	4570	3787	550
3988	4571	3789	552
3993	4572	3809	582
3994	4576	3838	583
4005	4600	3847	589
4008	4602	3856	600
4010	4616	3868	606
4028	4631	3869	609
4048	4634	3892	620
4051	4642	3903	624
4057	4647	3905	631
4079	4648	3907	633
4091	4651	3908	645
4112	4661	3915	676
4118	4669	3925	681
4127	4704	3943	696
4128	4706	3965	709
4131	4710	3979	711
4133	4722	3985	747
4135	4756	3986	750
4141	4764	4003	753
4149	4773	4012	782
4153	4775	4014	799
4159	4792	4021	831
4160	4795	4033	847
4171	4819	4034	854
4178	4826	4040	875
4196	4828	4041	880
4197	4837	4043	886
4199	4838	4046	902
4230	4844	4048	912
4231	4845	4071	921
4235	4864	4072	925
4240	4882	4075	939
4242	4886	4078	944
4260	4891	4094	946
4265	4903	4102	968
4268	4909	4106	970
4278	4930	4108	982
4279	4951	4129	983
4281	4962	4134	993
4282	4963	4137	1009
4287	9	4154	1016
4302	10	4164	1029
4307	14	4179	1051
4312	26	4190	1055
4317	31	4193	1057
4325	70	4194	1074
4328	80	4203	1085
4330	119	4206	1088
4336	121	4209	1121
4352	137	4210	1135
4357	146	4221	1140
4377	151	4227	1141
4388	158	4229	1160
4393	162	4234	1187
4395	172	4237	1219
4396	208	4239	1230
4399	213	4252	1247
4407	215	4256	1264
4409	217	4259	1265
4414	225	4272	1267
4417	230	4275	1268
4428	248	4283	1296
4431	256	4300	1310
4439	270	4303	1339
4446	292	4311	1351
4464	294	4316	1352
4474	296	4344	1364
4497	301	4355	1365
4500	322	4358	1380
4509	324	4362	1401
4517	340	4370	1406
4527	358	4373	1440
4538	371	4388	1455
4543	377	4392	1492
4553	389	4395	1511
4554	393	4398	1543
4559	395	4405	1560
4564	401	4413	1562
4576	408	4424	1584
4581	411	4438	1592
4585	421	4455	1610
4590	425	4457	1614
4600	443	4460	1625
4601	459	4461	1629
4619	472	4465	1630
4624	480	4475	1642
4633	484	4479	1645
4635	487	4484	1651
4637	490	4488	1655
4640	499	4489	1673
4653	534	4509	1713
4662	537	4513	1715
4665	556	4516	1719
4668	563	4531	1759
4683	572	4532	1789
4684	598	4571	1800
4687	603	4581	1837
4689	607	4591	1848
4704	609	4603	1861
4705	625	4641	1866
4714	628	4646	1868
4719	640	4658	1871
4727	644	4662	1884
4731	646	4668	1920
4757	649	4669	1971
4761	671	4670	1978
4770	677	4680	1980
4771	705	4683	1990
4773	721	4684	1995
4776	740	4713	2003
4779	744	4724	2023
4794	750	4730	2032
4802	758	4733	2045
4810	781	4736	2049
4815	785	4749	2067
4817	803	4755	2072
4827	825	4760	2078
4844	833	4777	2111
4845	839	4779	2133
4851	851	4783	2136
4856	861	4795	2142
4861	871	4802	2152
4862	884	4804	2177
4864	886	4814	2192
4865	934	4826	2197
4879	941	4837	2199
4883	970	4850	2203
4886	1018	4858	2208
4920	1052	4860	2211
4930	1061	4868	2215
4936	1104	4876	2271
4945	1109	4878	2279
4946	1110	4889	2302
4956	1114	4891	2331
4972	1124	4905	2335
4976	1133	4948	2343
4981	1135	4949	2350
4984	1136	4975	2375
4992	1147	4977	2378
4997	1155	4982	2385
